index,doppler_offset,timestamp,measured_freq
55,2238.5209960938,2018-01-13T16:12:07.362011Z,145882238.5209960938
56,2239.7355957031,2018-01-13T16:12:07.462011Z,145882239.7355957031
57,2226.4589843750,2018-01-13T16:12:07.562011Z,145882226.4589843750
58,2229.5568847656,2018-01-13T16:12:07.662011Z,145882229.5568847656
59,2239.9262695312,2018-01-13T16:12:07.762011Z,145882239.9262695312
60,2206.8388671875,2018-01-13T16:12:07.862011Z,145882206.8388671875
61,2195.1386718750,2018-01-13T16:12:07.962011Z,145882195.1386718750
62,2173.9504394531,2018-01-13T16:12:08.062011Z,145882173.9504394531
63,2163.3640136719,2018-01-13T16:12:08.162011Z,145882163.3640136719
64,2157.7324218750,2018-01-13T16:12:08.262011Z,145882157.7324218750
65,2146.1647949219,2018-01-13T16:12:08.362011Z,145882146.1647949219
66,2172.7045898438,2018-01-13T16:12:08.462011Z,145882172.7045898438
67,2185.2941894531,2018-01-13T16:12:08.562011Z,145882185.2941894531
68,2175.4423828125,2018-01-13T16:12:08.662011Z,145882175.4423828125
69,2199.7580566406,2018-01-13T16:12:08.762011Z,145882199.7580566406
70,2153.0759277344,2018-01-13T16:12:08.862011Z,145882153.0759277344
71,2162.6179199219,2018-01-13T16:12:08.962011Z,145882162.6179199219
72,2171.5668945312,2018-01-13T16:12:09.062011Z,145882171.5668945312
73,2174.1313476562,2018-01-13T16:12:09.162011Z,145882174.1313476562
74,2149.6916503906,2018-01-13T16:12:09.262011Z,145882149.6916503906
75,2178.8452148438,2018-01-13T16:12:09.362011Z,145882178.8452148438
76,2143.8581542969,2018-01-13T16:12:09.462011Z,145882143.8581542969
77,2188.6796875000,2018-01-13T16:12:09.562011Z,145882188.6796875000
78,2174.6984863281,2018-01-13T16:12:09.662011Z,145882174.6984863281
79,2157.2465820312,2018-01-13T16:12:09.762011Z,145882157.2465820312
80,2194.7282714844,2018-01-13T16:12:09.862011Z,145882194.7282714844
81,2171.3862304688,2018-01-13T16:12:09.962011Z,145882171.3862304688
82,2168.0393066406,2018-01-13T16:12:10.062011Z,145882168.0393066406
83,2183.6394042969,2018-01-13T16:12:10.162011Z,145882183.6394042969
84,2187.7565917969,2018-01-13T16:12:10.262011Z,145882187.7565917969
85,2161.6340332031,2018-01-13T16:12:10.362011Z,145882161.6340332031
86,2175.1630859375,2018-01-13T16:12:10.462011Z,145882175.1630859375
87,2151.9816894531,2018-01-13T16:12:10.562011Z,145882151.9816894531
88,2157.7446289062,2018-01-13T16:12:10.662011Z,145882157.7446289062
89,2158.6020507812,2018-01-13T16:12:10.762011Z,145882158.6020507812
90,2120.3017578125,2018-01-13T16:12:10.862011Z,145882120.3017578125
91,2151.8417968750,2018-01-13T16:12:10.962011Z,145882151.8417968750
92,2176.3776855469,2018-01-13T16:12:11.062011Z,145882176.3776855469
93,2128.4194335938,2018-01-13T16:12:11.162011Z,145882128.4194335938
94,2135.4897460938,2018-01-13T16:12:11.262011Z,145882135.4897460938
95,2144.3662109375,2018-01-13T16:12:11.362011Z,145882144.3662109375
96,2092.6962890625,2018-01-13T16:12:11.462011Z,145882092.6962890625
97,2149.3127441406,2018-01-13T16:12:11.562011Z,145882149.3127441406
98,2140.0666503906,2018-01-13T16:12:11.662011Z,145882140.0666503906
99,2118.6801757812,2018-01-13T16:12:11.762011Z,145882118.6801757812
100,2128.5517578125,2018-01-13T16:12:11.862011Z,145882128.5517578125
101,2102.8049316406,2018-01-13T16:12:11.962011Z,145882102.8049316406
102,2134.2265625000,2018-01-13T16:12:12.062011Z,145882134.2265625000
103,2118.8740234375,2018-01-13T16:12:12.162011Z,145882118.8740234375
104,2155.5385742188,2018-01-13T16:12:12.262011Z,145882155.5385742188
105,2161.2258300781,2018-01-13T16:12:12.362011Z,145882161.2258300781
106,2165.4863281250,2018-01-13T16:12:12.462011Z,145882165.4863281250
107,2134.6000976562,2018-01-13T16:12:12.562011Z,145882134.6000976562
108,2126.3159179688,2018-01-13T16:12:12.662011Z,145882126.3159179688
109,2135.4848632812,2018-01-13T16:12:12.762011Z,145882135.4848632812
110,2101.5739746094,2018-01-13T16:12:12.862011Z,145882101.5739746094
111,2107.9379882812,2018-01-13T16:12:12.962011Z,145882107.9379882812
112,2100.3193359375,2018-01-13T16:12:13.062011Z,145882100.3193359375
113,2140.4477539062,2018-01-13T16:12:13.162011Z,145882140.4477539062
114,2111.0837402344,2018-01-13T16:12:13.262011Z,145882111.0837402344
115,2107.6652832031,2018-01-13T16:12:13.362011Z,145882107.6652832031
116,2095.9990234375,2018-01-13T16:12:13.462011Z,145882095.9990234375
117,2125.5908203125,2018-01-13T16:12:13.562011Z,145882125.5908203125
118,2113.0185546875,2018-01-13T16:12:13.662011Z,145882113.0185546875
119,2137.4077148438,2018-01-13T16:12:13.762011Z,145882137.4077148438
120,2151.0153808594,2018-01-13T16:12:13.862011Z,145882151.0153808594
121,2147.8666992188,2018-01-13T16:12:13.962011Z,145882147.8666992188
122,2111.2675781250,2018-01-13T16:12:14.062011Z,145882111.2675781250
123,2130.9169921875,2018-01-13T16:12:14.162011Z,145882130.9169921875
124,2117.6599121094,2018-01-13T16:12:14.262011Z,145882117.6599121094
