index,doppler_offset,timestamp,measured_freq
0,0.0012523750,2018-01-13T16:11:06.862011Z,145880000.0012523830
1,0.0146881891,2018-01-13T16:11:06.962011Z,145880000.0146881938
2,0.0954630151,2018-01-13T16:11:07.062011Z,145880000.0954630077
3,-0.1617816389,2018-01-13T16:11:07.162011Z,145879999.8382183611
4,-0.4643514454,2018-01-13T16:11:07.262011Z,145879999.5356485546
5,-0.4617462456,2018-01-13T16:11:07.362011Z,145879999.5382537544
6,-0.3162661493,2018-01-13T16:11:07.462011Z,145879999.6837338507
7,1.4707638025,2018-01-13T16:11:07.562011Z,145880001.4707638025
8,2.7261402607,2018-01-13T16:11:07.662011Z,145880002.7261402607
9,4.2529554367,2018-01-13T16:11:07.762011Z,145880004.2529554367
10,9.9512052536,2018-01-13T16:11:07.862011Z,145880009.9512052536
11,6.0054655075,2018-01-13T16:11:07.962011Z,145880006.0054655075
12,4.3915543556,2018-01-13T16:11:08.062011Z,145880004.3915543556
13,-4.4857692719,2018-01-13T16:11:08.162011Z,145879995.5142307281
14,-10.4490814209,2018-01-13T16:11:08.262011Z,145879989.5509185791
15,-7.4431233406,2018-01-13T16:11:08.362011Z,145879992.5568766594
16,-9.6268043518,2018-01-13T16:11:08.462011Z,145879990.3731956482
17,-14.0617351532,2018-01-13T16:11:08.562011Z,145879985.9382648468
18,-2.6099972725,2018-01-13T16:11:08.662011Z,145879997.3900027275
19,8.7815313339,2018-01-13T16:11:08.762011Z,145880008.7815313339
20,3.2599749565,2018-01-13T16:11:08.862011Z,145880003.2599749565
21,8.2006254196,2018-01-13T16:11:08.962011Z,145880008.2006254196
22,19.9477329254,2018-01-13T16:11:09.062011Z,145880019.9477329254
23,3.7886145115,2018-01-13T16:11:09.162011Z,145880003.7886145115
24,7.2980742455,2018-01-13T16:11:09.262011Z,145880007.2980742455
25,2.6108157635,2018-01-13T16:11:09.362011Z,145880002.6108157635
26,-10.5751361847,2018-01-13T16:11:09.462011Z,145879989.4248638153
27,-33.6551551819,2018-01-13T16:11:09.562011Z,145879966.3448448181
28,-53.6819572449,2018-01-13T16:11:09.662011Z,145879946.3180427551
29,-63.6403770447,2018-01-13T16:11:09.762011Z,145879936.3596229553
30,-46.7071800232,2018-01-13T16:11:09.862011Z,145879953.2928199768
31,-37.6421279907,2018-01-13T16:11:09.962011Z,145879962.3578720093
32,-53.7308006287,2018-01-13T16:11:10.062011Z,145879946.2691993713
33,-59.4552879333,2018-01-13T16:11:10.162011Z,145879940.5447120667
34,-13.2210073471,2018-01-13T16:11:10.262011Z,145879986.7789926529
35,23.5053405762,2018-01-13T16:11:10.362011Z,145880023.5053405762
36,31.6866970062,2018-01-13T16:11:10.462011Z,145880031.6866970062
37,25.5416088104,2018-01-13T16:11:10.562011Z,145880025.5416088104
38,44.3662605286,2018-01-13T16:11:10.662011Z,145880044.3662605286
39,46.3181381226,2018-01-13T16:11:10.762011Z,145880046.3181381226
40,36.0942955017,2018-01-13T16:11:10.862011Z,145880036.0942955017
41,18.6147060394,2018-01-13T16:11:10.962011Z,145880018.6147060394
42,51.2391510010,2018-01-13T16:11:11.062011Z,145880051.2391510010
43,24.5242271423,2018-01-13T16:11:11.162011Z,145880024.5242271423
44,74.5401840210,2018-01-13T16:11:11.262011Z,145880074.5401840210
45,64.2887420654,2018-01-13T16:11:11.362011Z,145880064.2887420654
